parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_model_s,t_DCAC_model_s,delta_t_model_s,delta_t_model_min,t_DC_geom_s,t_DCAC_geom_s,delta_t_geom_s,delta_t_geom_min,delta_t_resid_s,delta_t_resid_min,q_window_lo_Ah,q_window_hi_Ah,q_margin_Ah,dt_geom_resolution_s
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.1711834299968262,0.43423668599936527,0.48423668599936526,5210.8402319923825,5024.728721714191,186.11151027819142,3.1018585046365237,5210.8402319923825,5024.72800383998,186.11222815240217,3.1018704692067027,-0.0007178742107498692,-1.1964570179164487e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.2062882338950773,0.44125764677901547,0.49125764677901546,5295.091761348185,5050.30265718841,244.78910415977498,4.079818402662917,5295.091761348186,5050.300748675819,244.7910126723673,4.0798502112061215,-0.0019085125923083979,-3.1808543205139965e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.241393037793329,0.4482786075586658,0.49827860755866576,5379.34329070399,5075.648622144769,303.6946685592202,5.061577809320337,5379.34329070399,5075.645827860162,303.69746284382745,5.061624380730458,-0.002794284607261943,-4.657141012103239e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.27649784169158,0.455299568338316,0.505299568338316,5463.594820059791,5101.732499135688,361.8623209241032,6.031038682068386,5463.594820059792,5101.728779449706,361.8660406100862,6.03110067683477,-0.0037196859830146423,-6.199476638357737e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.3116026455898315,0.4623205291179663,0.5123205291179663,5547.846349415596,5129.797394093246,418.0489553223497,6.9674825887058285,5547.846349415596,5129.792611615004,418.053737800592,6.967562296676533,-0.004782478242304933,-7.970797070508221e-05,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.3467074494880826,0.46934148989761654,0.5193414898976165,5632.097878771398,5162.095666049571,470.00221272182716,7.833370212030453,5632.097878771398,5162.089648683085,470.0082300883132,7.833470501471887,-0.006017366486048559,-0.00010028944143414265,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.3818122533863337,0.47636245067726674,0.5263624506772667,5716.349408127201,5205.203284363619,511.1461237635822,8.51910206272637,5716.349408127201,5205.187938511473,511.1614696157285,8.519357826928807,-0.01534585214631079,-0.0002557642024385132,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.4169170572845853,0.48338341145691704,0.533383411456917,5800.600937483005,5687.436935481165,113.16400200183944,1.8860667000306572,5800.600937483005,5687.437507744933,113.1634297380715,1.8860571623011917,0.0005722637679355103,9.537729465591837e-06,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.4520218611828364,0.4904043722365673,0.5404043722365673,5884.852466838807,5714.878903829754,169.97356300905358,2.8328927168175597,5884.852466838807,5714.878558387552,169.97390845125483,2.8328984741875805,-0.00034544220125098946,-5.757370020849824e-06,0.1,4.2774716638919035,0.1,0.25
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.487126665081088,0.4974253330162176,0.5474253330162177,5969.103996194611,5740.690131073658,228.41386512095232,3.806897752015872,5969.103996194611,5740.688596600268,228.4153995943425,3.8069233265723748,-0.0015344733901656582,-2.557455650276097e-05,0.1,4.2774716638919035,0.1,0.25
