branch_id,search_term,variable_key
surface_form_algebraic,sei,X-averaged SEI film overpotential [V]
surface_form_algebraic,sei,X-averaged negative SEI concentration [mol.m-3]
surface_form_algebraic,sei,X-averaged negative SEI on cracks concentration [mol.m-3]
surface_form_algebraic,sei,X-averaged negative SEI on cracks thickness [m]
surface_form_algebraic,sei,X-averaged negative SEI thickness [m]
surface_form_algebraic,sei,X-averaged negative electrode SEI film overpotential [V]
surface_form_algebraic,sei,X-averaged negative electrode SEI interfacial current density [A.m-2]
surface_form_algebraic,sei,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_algebraic,sei,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_algebraic,sei,X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
surface_form_algebraic,sei,X-averaged positive SEI concentration [mol.m-3]
surface_form_algebraic,sei,X-averaged positive SEI on cracks concentration [mol.m-3]
surface_form_algebraic,sei,X-averaged positive SEI on cracks thickness [m]
surface_form_algebraic,sei,X-averaged positive SEI thickness [m]
surface_form_algebraic,sei,X-averaged positive electrode SEI film overpotential [V]
surface_form_algebraic,sei,X-averaged positive electrode SEI interfacial current density [A.m-2]
surface_form_algebraic,sei,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_algebraic,sei,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_algebraic,sei,X-averaged positive electrode SEI volumetric interfacial current density [A.m-3]
surface_form_algebraic,crack,Loss of capacity to negative SEI on cracks [A.h]
surface_form_algebraic,crack,Loss of capacity to positive SEI on cracks [A.h]
surface_form_algebraic,crack,Loss of lithium to negative SEI on cracks [mol]
surface_form_algebraic,crack,Loss of lithium to positive SEI on cracks [mol]
surface_form_algebraic,crack,Negative SEI on cracks concentration [mol.m-3]
surface_form_algebraic,crack,Negative SEI on cracks thickness [m]
surface_form_algebraic,crack,Negative crack surface to volume ratio [m-1]
surface_form_algebraic,crack,Negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_algebraic,crack,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_algebraic,crack,Negative particle crack length [m]
surface_form_algebraic,crack,Negative particle cracking rate [m.s-1]
surface_form_algebraic,crack,Positive SEI on cracks concentration [mol.m-3]
surface_form_algebraic,crack,Positive SEI on cracks thickness [m]
surface_form_algebraic,crack,Positive crack surface to volume ratio [m-1]
surface_form_algebraic,crack,Positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_algebraic,crack,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_algebraic,crack,Positive particle crack length [m]
surface_form_algebraic,crack,Positive particle cracking rate [m.s-1]
surface_form_algebraic,crack,Volume-averaged negative SEI on cracks concentration [mol.m-3]
surface_form_algebraic,crack,Volume-averaged negative SEI on cracks thickness [m]
surface_form_algebraic,crack,Volume-averaged positive SEI on cracks concentration [mol.m-3]
surface_form_algebraic,crack,Volume-averaged positive SEI on cracks thickness [m]
surface_form_algebraic,crack,X-averaged negative SEI on cracks concentration [mol.m-3]
surface_form_algebraic,crack,X-averaged negative SEI on cracks thickness [m]
surface_form_algebraic,crack,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
surface_form_algebraic,crack,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_algebraic,crack,X-averaged negative particle crack length [m]
surface_form_algebraic,crack,X-averaged negative particle cracking rate [m.s-1]
surface_form_algebraic,crack,X-averaged positive SEI on cracks concentration [mol.m-3]
surface_form_algebraic,crack,X-averaged positive SEI on cracks thickness [m]
surface_form_algebraic,crack,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
surface_form_algebraic,crack,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
surface_form_algebraic,crack,X-averaged positive particle crack length [m]
surface_form_algebraic,crack,X-averaged positive particle cracking rate [m.s-1]
surface_form_algebraic,surface potential difference,Negative electrode surface potential difference [V]
