parameter_set,model_type,condition,keyword,variable_key
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Negative electrode stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Negative particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Negative particle surface stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Positive electrode stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Positive particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Positive particle surface stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,R-averaged negative particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,R-averaged positive particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,X-averaged negative particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,X-averaged negative particle surface stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,X-averaged positive particle stoichiometry
